Ux,Uy,r,s,del,w_rl,w_rr,w_fl,w_fr
30,0,0,0,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.03,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.06,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.09,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.12,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.15,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.18,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.21,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.24,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.27,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.3,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.33,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.36,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.39,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.42,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.45,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.48,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.51,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.54,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.57,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.6,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.63,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.66,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.69,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.72,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.75,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.78,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.81,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.840000000000001,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.870000000000001,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.900000000000001,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.930000000000001,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.960000000000001,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,0.990000000000001,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.02,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.05,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.08,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.11,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.14,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.17,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.2,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.23,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.26,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.29,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.32,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.35,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.38,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.41,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.44,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.47,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.5,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.53,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.56,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.59,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.62,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.65,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.68,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.71,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.74,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.77,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.8,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.83,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.86,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.89,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.92,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.95,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,1.98,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.01,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.04,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.07,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.1,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.13,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.16,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.19,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.22,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.25,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.28,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.31,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.34,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.37,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.4,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.43,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
30,0,0,2.46,0,88.2352941176471,88.2352941176471,88.2352941176471,88.2352941176471
